Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
doublecenter-alpha_3-43-n9,614.56,631.9,0.0,1239.30
doublecenter-alpha_3-44-n9,820.72,820.72,0.0,1723.72
doublecenter-alpha_3-45-n9,566.44,566.44,0.0,970.66
doublecenter-alpha_3-46-n9,573.93,573.93,0.0,592.09
doublecenter-alpha_3-47-n9,725.29,725.29,0.0,979.93
doublecenter-alpha_3-48-n9,526.73,526.73,0.0,500.91
doublecenter-alpha_3-49-n9,453.4,453.4,0.0,564.76
doublecenter-alpha_3-5-n5,563.3,563.3,0.0,1032.58
doublecenter-alpha_3-50-n9,596.38,602.33,0.0,799.78
doublecenter-alpha_3-6-n5,459.87,459.87,0.0,733.58
doublecenter-alpha_3-7-n5,541.75,541.4,0.0,1445.01
doublecenter-alpha_3-8-n5,710.08,710.08,0.0,912.64
doublecenter-alpha_3-9-n5,617.66,617.66,0.0,1069.26
singlecenter-1-n5,281.1,281.1,0.0,433.57
singlecenter-10-n5,250.2,250.2,0.0,366.94
singlecenter-11-n6,266.87,266.87,0.0,281.32
singlecenter-12-n6,254.03,254.03,0.0,327.33
singlecenter-13-n6,379.73,379.73,0.0,350.00
singlecenter-14-n6,287.58,287.2,0.0,238.48
singlecenter-15-n6,267.25,267.25,0.0,405.13
singlecenter-16-n6,252.95,252.95,0.0,291.32
singlecenter-17-n6,543.35,543.35,0.0,698.77
singlecenter-18-n6,451.08,451.08,0.0,582.23
singlecenter-19-n6,298.65,298.65,0.0,525.71
singlecenter-2-n5,301.24,301.24,0.0,342.83
singlecenter-20-n6,230.97,230.97,0.0,334.29
singlecenter-21-n7,373.05,373.05,0.0,530.41
singlecenter-22-n7,361.74,361.74,0.0,460.52
singlecenter-23-n7,158.69,158.69,0.0,138.98
singlecenter-24-n7,297.91,297.91,0.0,433.11
singlecenter-25-n7,357.36,357.36,0.0,254.38
singlecenter-26-n7,199.88,199.88,0.0,209.96
singlecenter-27-n7,288.22,288.22,0.0,410.02
singlecenter-28-n7,326.38,326.38,0.0,322.77
singlecenter-29-n7,360.9,360.9,0.0,456.12
singlecenter-3-n5,107.2,107.2,0.0,105.34
singlecenter-30-n7,302.97,302.97,0.0,430.43
singlecenter-31-n8,262.5,262.5,0.0,357.24
singlecenter-32-n8,186.44,186.44,0.0,367.87
singlecenter-33-n8,354.38,354.38,0.0,530.78
singlecenter-34-n8,410.44,410.44,0.0,441.69
singlecenter-35-n8,338.05,338.05,0.0,338.05
singlecenter-36-n8,394.59,394.59,0.0,402.03
singlecenter-37-n8,268.19,268.19,0.0,402.07
singlecenter-38-n8,508.21,508.21,0.0,464.79
singlecenter-39-n8,343.29,343.29,0.0,456.51
singlecenter-4-n5,247.62,247.62,0.0,189.62
singlecenter-40-n8,375.52,375.52,0.0,527.87
singlecenter-41-n9,237.83,237.83,0.0,209.61
singlecenter-42-n9,566.41,566.41,0.0,680.91
singlecenter-43-n9,355.44,355.44,0.0,620.87
singlecenter-44-n9,368.25,368.25,0.0,379.87
singlecenter-45-n9,410.12,410.12,0.0,440.95
singlecenter-46-n9,384.39,384.39,0.0,427.13
singlecenter-47-n9,472.0,472.0,0.0,707.04
singlecenter-48-n9,361.17,365.63,0.0,327.90
singlecenter-49-n9,506.41,506.41,0.01,888.02
singlecenter-5-n5,248.93,248.93,0.0,287.35
singlecenter-50-n9,367.1,367.1,0.0,397.29
singlecenter-6-n5,354.47,354.47,0.0,406.53
singlecenter-7-n5,227.21,227.21,0.0,349.77
singlecenter-8-n5,152.82,152.82,0.0,206.62
singlecenter-9-n5,248.36,248.36,0.0,377.32
singlecenter-alpha_1-1-n5,281.1,281.1,0.0,213.31
singlecenter-alpha_1-10-n5,250.2,250.2,0.0,167.81
singlecenter-alpha_1-11-n6,266.87,266.87,0.0,229.71
singlecenter-alpha_1-12-n6,254.03,254.03,0.0,170.36
singlecenter-alpha_1-13-n6,379.73,379.73,0.0,293.28
singlecenter-alpha_1-14-n6,287.58,287.2,0.0,238.48
singlecenter-alpha_1-15-n6,267.25,267.25,0.0,217.06
singlecenter-alpha_1-16-n6,252.95,252.95,0.0,158.58
singlecenter-alpha_1-17-n6,543.35,543.35,0.0,307.70
singlecenter-alpha_1-18-n6,451.08,451.08,0.0,432.93
singlecenter-alpha_1-19-n6,298.65,298.65,0.0,259.37
singlecenter-alpha_1-2-n5,301.24,301.24,0.0,181.53
singlecenter-alpha_1-20-n6,230.97,230.97,0.0,172.52
singlecenter-alpha_1-21-n7,373.05,373.05,0.0,521.67
singlecenter-alpha_1-22-n7,361.74,361.74,0.0,348.62
singlecenter-alpha_1-23-n7,158.69,158.69,0.0,247.82
singlecenter-alpha_1-24-n7,297.91,297.91,0.0,247.61
singlecenter-alpha_1-25-n7,357.36,357.36,0.0,253.41
singlecenter-alpha_1-26-n7,199.88,199.88,0.0,114.70
singlecenter-alpha_1-27-n7,288.22,288.22,0.0,530.12
singlecenter-alpha_1-28-n7,326.38,326.38,0.0,249.25
singlecenter-alpha_1-29-n7,360.9,360.9,0.0,486.70
singlecenter-alpha_1-3-n5,107.2,107.2,0.0,65.25
singlecenter-alpha_1-30-n7,302.97,302.97,0.0,398.62
singlecenter-alpha_1-31-n8,262.5,272.67,0.0,366.47
