Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_3-19-n6,298.65,239.8,0.01,204.53
singlecenter-alpha_3-2-n5,301.24,161.14,0.00,102.80
singlecenter-alpha_3-20-n6,230.97,166.58,0.01,111.41
singlecenter-alpha_3-21-n7,373.05,254.36,0.02,224.85
singlecenter-alpha_3-22-n7,361.74,125.62,0.02,143.95
singlecenter-alpha_3-23-n7,158.69,123.26,0.01,137.04
singlecenter-alpha_3-24-n7,297.91,153.79,0.02,136.76
singlecenter-alpha_3-25-n7,357.36,139.13,0.01,121.76
singlecenter-alpha_3-26-n7,199.88,65.85,0.00,78.04
singlecenter-alpha_3-27-n7,288.22,246.64,0.00,186.66
singlecenter-alpha_3-28-n7,326.38,214.45,0.02,139.43
singlecenter-alpha_3-29-n7,360.9,211.69,0.02,151.08
singlecenter-alpha_3-3-n5,107.2,35.38,0.03,35.28
singlecenter-alpha_3-30-n7,302.97,196.64,0.03,208.29
singlecenter-alpha_3-31-n8,262.5,171.86,0.04,186.34
singlecenter-alpha_3-32-n8,186.44,134.01,0.03,118.11
singlecenter-alpha_3-33-n8,354.38,152.77,0.03,183.10
singlecenter-alpha_3-34-n8,410.44,223.62,0.01,290.89
singlecenter-alpha_3-35-n8,338.05,184.31,0.01,217.40
singlecenter-alpha_3-36-n8,394.59,125.24,0.05,157.57
singlecenter-alpha_3-37-n8,268.19,134.62,0.02,142.56
singlecenter-alpha_3-38-n8,508.21,274.81,0.03,449.38
singlecenter-alpha_3-39-n8,343.29,185.59,0.03,208.77
singlecenter-alpha_3-4-n5,247.62,89.43,0.01,81.91
singlecenter-alpha_3-40-n8,375.52,241.66,0.02,303.28
singlecenter-alpha_3-41-n9,237.83,115.29,0.03,275.12
singlecenter-alpha_3-42-n9,566.41,348.31,0.03,521.36
singlecenter-alpha_3-43-n9,355.44,245.67,0.02,374.33
singlecenter-alpha_3-44-n9,368.25,279.8,0.04,321.76
singlecenter-alpha_3-45-n9,410.12,308.7,0.04,438.23
singlecenter-alpha_3-46-n9,384.39,207.1,0.04,267.77
singlecenter-alpha_3-47-n9,472.0,340.35,0.01,485.97
singlecenter-alpha_3-48-n9,361.17,206.63,0.03,378.67
singlecenter-alpha_3-49-n9,506.41,410.3,0.04,426.03
singlecenter-alpha_3-5-n5,248.93,92.87,0.04,82.00
singlecenter-alpha_3-50-n9,367.1,223.29,0.03,261.14
singlecenter-alpha_3-6-n5,354.47,148.56,0.00,129.04
singlecenter-alpha_3-7-n5,227.21,172.86,0.00,130.11
