Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_1-6-n5,354.47,234.8,0.00,216.85
singlecenter-alpha_1-7-n5,227.21,183.43,0.00,180.75
singlecenter-alpha_1-8-n5,152.82,130.86,0.00,130.86
singlecenter-alpha_1-9-n5,248.36,211.45,0.00,211.45
singlecenter-alpha_3-1-n5,281.1,156.76,0.00,156.76
singlecenter-alpha_3-10-n5,250.2,138.48,0.00,103.91
singlecenter-alpha_3-11-n6,266.87,128.01,0.00,99.86
singlecenter-alpha_3-12-n6,254.03,147.46,0.00,97.01
singlecenter-alpha_3-13-n6,379.73,219.01,0.00,155.96
singlecenter-alpha_3-14-n6,287.58,104.31,0.00,104.31
singlecenter-alpha_3-15-n6,267.25,160.64,0.00,141.83
singlecenter-alpha_3-16-n6,252.95,119.87,0.00,93.97
singlecenter-alpha_3-17-n6,543.35,210.29,0.00,210.29
singlecenter-alpha_3-18-n6,451.08,206.54,0.00,199.35
singlecenter-alpha_3-19-n6,298.65,176.61,0.00,204.53
singlecenter-alpha_3-2-n5,301.24,160.28,0.00,102.80
singlecenter-alpha_3-20-n6,230.97,100.96,0.00,111.41
singlecenter-alpha_3-21-n7,373.05,207.5,0.00,224.85
singlecenter-alpha_3-22-n7,361.74,133.04,0.00,143.95
singlecenter-alpha_3-23-n7,158.69,122.25,0.00,137.04
singlecenter-alpha_3-24-n7,297.91,148.11,0.00,136.76
singlecenter-alpha_3-25-n7,357.36,123.12,0.00,121.76
singlecenter-alpha_3-26-n7,199.88,110.15,0.00,78.04
singlecenter-alpha_3-27-n7,288.22,164.31,0.00,186.66
singlecenter-alpha_3-28-n7,326.38,139.62,0.00,139.43
singlecenter-alpha_3-29-n7,360.9,171.17,0.00,151.08
singlecenter-alpha_3-3-n5,107.2,58.53,0.00,35.28
singlecenter-alpha_3-30-n7,302.97,215.15,0.00,208.29
singlecenter-alpha_3-31-n8,262.5,177.75,0.00,186.34
singlecenter-alpha_3-32-n8,186.44,97.41,0.00,118.11
singlecenter-alpha_3-33-n8,354.38,188.45,0.00,183.10
singlecenter-alpha_3-34-n8,410.44,280.84,0.00,290.89
singlecenter-alpha_3-35-n8,338.05,168.94,0.00,217.40
singlecenter-alpha_3-36-n8,394.59,185.06,0.00,157.57
singlecenter-alpha_3-37-n8,268.19,128.68,0.00,142.56
singlecenter-alpha_3-38-n8,508.21,317.07,0.00,449.38
singlecenter-alpha_3-39-n8,343.29,173.87,0.00,208.77
singlecenter-alpha_3-4-n5,247.62,103.61,0.00,81.91
singlecenter-alpha_3-40-n8,375.52,188.29,0.00,303.28
singlecenter-alpha_3-41-n9,237.83,103.58,0.00,275.12
singlecenter-alpha_3-42-n9,566.41,310.85,0.00,521.36
singlecenter-alpha_3-43-n9,355.44,272.83,0.00,374.33
singlecenter-alpha_3-44-n9,368.25,233.88,0.00,321.76
singlecenter-alpha_3-45-n9,410.12,311.67,0.00,438.23
singlecenter-alpha_3-46-n9,384.39,205.18,0.00,267.77
singlecenter-alpha_3-47-n9,472.0,302.71,0.00,485.97
singlecenter-alpha_3-48-n9,361.17,215.29,0.00,378.67
