Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD Spikes +  Grafo Aux ,Tempo TSPD Spikes + Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_1-14-n6,6,287.58,238.48,0,238.48
singlecenter-alpha_1-15-n6,6,267.25,246.63,0,217.06
singlecenter-alpha_1-16-n6,6,252.95,194.67,0,158.58
singlecenter-alpha_1-17-n6,6,543.35,393.38,0,307.7
singlecenter-alpha_1-18-n6,6,451.08,394.09,0,338.98
singlecenter-alpha_1-19-n6,6,298.65,283.57,0.01,259.37
singlecenter-alpha_1-20-n6,6,230.97,183.54,0,172.52
singlecenter-alpha_3-11-n6,6,266.87,103.95,0,99.86
singlecenter-alpha_3-12-n6,6,254.03,110.35,0,97.01
singlecenter-alpha_3-13-n6,6,379.73,155.96,0,155.96
singlecenter-alpha_3-14-n6,6,287.58,110.93,0,104.31
singlecenter-alpha_3-15-n6,6,267.25,178.31,0,141.83
singlecenter-alpha_3-16-n6,6,252.95,96.74,0,93.97
singlecenter-alpha_3-17-n6,6,543.35,234.81,0,210.29
singlecenter-alpha_3-18-n6,6,451.08,206.67,0,199.35
singlecenter-alpha_3-19-n6,6,298.65,202.85,0,204.53
singlecenter-alpha_3-20-n6,6,230.97,100.96,0,111.41
uniform-11-n6,6,262.63,183.02,0,171.7
uniform-12-n6,6,332.32,216.5,0,199.02
uniform-13-n6,6,240.42,173.97,0,150.11
uniform-14-n6,6,239.08,140.02,0,140.02
uniform-15-n6,6,213.02,126.96,0,133.33
uniform-16-n6,6,272.92,189.25,0,177.2
uniform-17-n6,6,302.02,200.35,0,182.58
uniform-18-n6,6,238.25,158.77,0,152.75
uniform-19-n6,6,269.17,168.3,0,169.68
uniform-20-n6,6,265.03,159.15,0,146.45
uniform-alpha_1-11-n6,6,262.63,260.74,0,227.97
uniform-alpha_1-12-n6,6,332.32,317.61,0,280.83
uniform-alpha_1-13-n6,6,240.42,224.91,0,197.81
uniform-alpha_1-14-n6,6,239.08,200.47,0,170.98
uniform-alpha_1-15-n6,6,213.02,194.73,0,165.22
uniform-alpha_1-16-n6,6,272.92,256.78,0,221.38
uniform-alpha_1-17-n6,6,302.02,250.02,0,248.44
uniform-alpha_1-18-n6,6,238.25,230.39,0,230.39
uniform-alpha_1-19-n6,6,269.17,227.91,0,227.91
uniform-alpha_1-20-n6,6,265.03,208.75,0,193.47
uniform-alpha_3-11-n6,6,262.63,171.54,0,171.7
uniform-alpha_3-12-n6,6,332.32,167.66,0,190.77
uniform-alpha_3-13-n6,6,240.42,123.98,0,122.15
uniform-alpha_3-14-n6,6,239.08,133.61,0,140.02
uniform-alpha_3-15-n6,6,213.02,112.76,0,129.44
uniform-alpha_3-16-n6,6,272.92,155.49,0,176.14
uniform-alpha_3-17-n6,6,302.02,196.92,0,178.71
uniform-alpha_3-18-n6,6,238.25,148.53,0,148.81
uniform-alpha_3-19-n6,6,269.17,161.21,0,169.68
uniform-alpha_3-20-n6,6,265.03,147.05,0,146.45
doublecenter-21-n7,7,679.82,612.8,0,489.48
doublecenter-22-n7,7,578,530.93,0,447.11
doublecenter-23-n7,7,625.47,512.5,0,416.32
doublecenter-24-n7,7,616.9,543.73,0.01,558.56
doublecenter-25-n7,7,816.05,575.03,0,523.02
doublecenter-26-n7,7,529.13,461.04,0,433.8
doublecenter-27-n7,7,561.39,280.97,0,248.73
doublecenter-28-n7,7,654.92,526.69,0,496.61
doublecenter-29-n7,7,553.98,469.48,0,500.47
doublecenter-30-n7,7,693.4,530.34,0,471.16
doublecenter-alpha_1-21-n7,7,679.82,670.24,0,667.07
doublecenter-alpha_1-22-n7,7,578,550.75,0,524.95
doublecenter-alpha_1-23-n7,7,625.47,597.14,0,553.86
doublecenter-alpha_1-24-n7,7,616.9,589.36,0,606.35
doublecenter-alpha_1-25-n7,7,816.05,716.29,0,764
doublecenter-alpha_1-26-n7,7,529.13,487.17,0,487.49
doublecenter-alpha_1-27-n7,7,561.39,387.94,0,379.55
doublecenter-alpha_1-28-n7,7,654.92,608.51,0,563.79
doublecenter-alpha_1-29-n7,7,553.98,540.46,0,498.8
doublecenter-alpha_1-30-n7,7,693.4,584.36,0,578.16
doublecenter-alpha_3-21-n7,7,679.82,549.67,0,428.63
doublecenter-alpha_3-22-n7,7,578,514.09,0,452.24
doublecenter-alpha_3-23-n7,7,625.47,484.29,0.01,308.01
doublecenter-alpha_3-24-n7,7,616.9,525.2,0,355.67
doublecenter-alpha_3-25-n7,7,816.05,528.02,0.01,378.43
doublecenter-alpha_3-26-n7,7,529.13,459.62,0.01,315.64
doublecenter-alpha_3-27-n7,7,561.39,246.46,0.01,230.1
doublecenter-alpha_3-28-n7,7,654.92,526.69,0,362.97
doublecenter-alpha_3-29-n7,7,553.98,460.84,0,451.05
doublecenter-alpha_3-30-n7,7,693.4,515.96,0.01,363.72
singlecenter-21-n7,7,373.05,221.91,0,231.93
singlecenter-22-n7,7,361.74,228.23,0,200.6
singlecenter-23-n7,7,158.69,122.25,0,138.98
singlecenter-24-n7,7,297.91,168.34,0,168.2
singlecenter-25-n7,7,357.36,162.7,0,139.65
singlecenter-26-n7,7,199.88,112.59,0,109.67
singlecenter-27-n7,7,288.22,253.24,0,220.75
singlecenter-28-n7,7,326.38,213.37,0,186.42
singlecenter-29-n7,7,360.9,212.72,0,212.72
singlecenter-30-n7,7,302.97,186.64,0,204.44
singlecenter-alpha_1-21-n7,7,373.05,274.81,0,363.49
singlecenter-alpha_1-22-n7,7,361.74,278.7,0,267.21
singlecenter-alpha_1-23-n7,7,158.69,150.7,0,138.98
singlecenter-alpha_1-24-n7,7,297.91,223.76,0,247.61
singlecenter-alpha_1-25-n7,7,357.36,235.47,0,253.41
singlecenter-alpha_1-26-n7,7,199.88,138.52,0,114.7
singlecenter-alpha_1-27-n7,7,288.22,278.73,0.01,286.01
singlecenter-alpha_1-28-n7,7,326.38,262.3,0,249.25
singlecenter-alpha_1-29-n7,7,360.9,315.3,0,307.23
singlecenter-alpha_1-30-n7,7,302.97,262.03,0,242.47
singlecenter-alpha_3-21-n7,7,373.05,211.4,0,224.85
singlecenter-alpha_3-22-n7,7,361.74,202.39,0,143.95
singlecenter-alpha_3-23-n7,7,158.69,122.25,0,137.04
singlecenter-alpha_3-24-n7,7,297.91,163.43,0,136.76
singlecenter-alpha_3-25-n7,7,357.36,124.09,0,121.76
singlecenter-alpha_3-26-n7,7,199.88,112.59,0,78.04
singlecenter-alpha_3-27-n7,7,288.22,253.24,0,186.66
singlecenter-alpha_3-28-n7,7,326.38,207.55,0,139.43
singlecenter-alpha_3-29-n7,7,360.9,185.41,0,151.08
singlecenter-alpha_3-30-n7,7,302.97,179.3,0,208.29
uniform-21-n7,7,270.69,231.61,0,224.81
uniform-22-n7,7,249.96,208.27,0,219.56
uniform-23-n7,7,277.2,226.27,0,274.61
uniform-24-n7,7,287.51,241.38,0,278.26
uniform-25-n7,7,291.35,227.59,0,223.72
uniform-26-n7,7,242.94,224.98,0,230.69
uniform-27-n7,7,287.87,196.52,0,185.16
uniform-28-n7,7,320.06,297.26,0,252.4
uniform-29-n7,7,335.33,280.39,0,280.39
uniform-30-n7,7,238.89,220.68,0,194.3
uniform-alpha_1-21-n7,7,270.69,249.58,0,257.67
uniform-alpha_1-22-n7,7,249.96,258.6,0,246.36
uniform-alpha_1-23-n7,7,277.2,287.88,0,276.4
uniform-alpha_1-24-n7,7,287.51,278.7,0,286.25
uniform-alpha_1-25-n7,7,291.35,280.55,0,275.29
uniform-alpha_1-26-n7,7,242.94,276.24,0,236.63
uniform-alpha_1-27-n7,7,287.87,242.73,0,241.74
uniform-alpha_1-28-n7,7,320.06,307.86,0,308.39
uniform-alpha_1-29-n7,7,335.33,304.12,0,281.91
uniform-alpha_1-30-n7,7,238.89,221.84,0,221.84
uniform-alpha_3-21-n7,7,270.69,224.78,0,208.35
uniform-alpha_3-22-n7,7,249.96,201.14,0,220.61
uniform-alpha_3-23-n7,7,277.2,220.13,0,230.21
uniform-alpha_3-24-n7,7,287.51,229.97,0,191.95
uniform-alpha_3-25-n7,7,291.35,217.29,0,232.96
uniform-alpha_3-26-n7,7,242.94,218.39,0,224.28
uniform-alpha_3-27-n7,7,287.87,193.56,0,190.45
uniform-alpha_3-28-n7,7,320.06,274.32,0,252.4
uniform-alpha_3-29-n7,7,335.33,271.47,0,238.19
uniform-alpha_3-30-n7,7,238.89,219.88,0,202.2
doublecenter-31-n8,8,672.59,511.83,0,475.22
doublecenter-32-n8,8,635.89,484.25,0,593.01
doublecenter-33-n8,8,605.73,429.36,0,540.09
doublecenter-34-n8,8,940.09,642.82,0,799.15
doublecenter-35-n8,8,616.59,526.51,0,581.76
doublecenter-36-n8,8,749.87,465.77,0,576.47
doublecenter-37-n8,8,491.17,319.92,0,372.29
doublecenter-38-n8,8,719.56,544.13,0,626.74
doublecenter-39-n8,8,792.64,587.94,0,588.2
doublecenter-40-n8,8,603.65,480.73,0,643.74
doublecenter-alpha_1-31-n8,8,672.59,675.59,0,669.62
doublecenter-alpha_1-32-n8,8,635.89,649.78,0,673.38
doublecenter-alpha_1-33-n8,8,605.73,602.32,0,569.56
doublecenter-alpha_1-34-n8,8,940.09,842.22,0,946.47
doublecenter-alpha_1-35-n8,8,616.59,599.34,0,588.44
doublecenter-alpha_1-36-n8,8,749.87,732.07,0,743.62
doublecenter-alpha_1-37-n8,8,491.17,422.81,0,472.59
doublecenter-alpha_1-38-n8,8,719.56,776.89,0.01,733.24
doublecenter-alpha_1-39-n8,8,792.64,731.72,0,769.95
doublecenter-alpha_1-40-n8,8,603.65,648.59,0,620.53
doublecenter-alpha_3-31-n8,8,672.59,389.54,0.01,348.61
doublecenter-alpha_3-32-n8,8,635.89,455.15,0,521.48
doublecenter-alpha_3-33-n8,8,605.73,429.36,0,510.48
doublecenter-alpha_3-34-n8,8,940.09,642.82,0,439.71
doublecenter-alpha_3-35-n8,8,616.59,519.84,0,514.43
doublecenter-alpha_3-36-n8,8,749.87,450.87,0,456.15
doublecenter-alpha_3-37-n8,8,491.17,299.23,0,360.62
doublecenter-alpha_3-38-n8,8,719.56,520.75,0,496.08
doublecenter-alpha_3-39-n8,8,792.64,491.66,0,539.69
doublecenter-alpha_3-40-n8,8,603.65,347.41,0,388.87
singlecenter-31-n8,8,262.5,174.19,0,204.35
singlecenter-32-n8,8,186.44,139.14,0,151.59
singlecenter-33-n8,8,354.38,187.93,0,197.86
singlecenter-34-n8,8,410.44,258.8,0.02,287.02
singlecenter-35-n8,8,338.05,229.63,0,338.05
singlecenter-36-n8,8,394.59,200.11,0.04,222.65
