Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD GRASP-VND +  Grafo Aux,Tempo TSPD GRASP-VND + Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_3-16-n6,6,252.95,94.17,0,93.97
singlecenter-alpha_3-17-n6,6,543.35,285.38,0,210.29
singlecenter-alpha_3-18-n6,6,451.08,324.66,0,199.35
singlecenter-alpha_3-19-n6,6,298.65,239.8,0,204.53
singlecenter-alpha_3-20-n6,6,230.97,62.63,0,111.41
uniform-11-n6,6,262.63,219.07,0,171.7
uniform-12-n6,6,332.32,250.08,0,199.02
uniform-13-n6,6,240.42,173.75,0,150.11
uniform-14-n6,6,239.08,140.02,0,140.02
uniform-15-n6,6,213.02,102.59,0,133.33
uniform-16-n6,6,272.92,202.73,0,177.2
uniform-17-n6,6,302.02,201.67,0,182.58
uniform-18-n6,6,238.25,197.48,0,152.75
uniform-19-n6,6,269.17,181.53,0,169.68
uniform-20-n6,6,265.03,178.28,0,146.45
uniform-alpha_1-11-n6,6,262.63,227.97,0,227.97
uniform-alpha_1-12-n6,6,332.32,282.58,0,280.83
uniform-alpha_1-13-n6,6,240.42,197.81,0,197.81
uniform-alpha_1-14-n6,6,239.08,170.98,0,170.98
uniform-alpha_1-15-n6,6,213.02,156.61,0,165.22
uniform-alpha_1-16-n6,6,272.92,218.07,0,221.38
uniform-alpha_1-17-n6,6,302.02,252.83,0,248.44
uniform-alpha_1-18-n6,6,238.25,230.39,0,230.39
uniform-alpha_1-19-n6,6,269.17,227.91,0,227.91
uniform-alpha_1-20-n6,6,265.03,193.47,0,193.47
uniform-alpha_3-11-n6,6,262.63,219.07,0,171.7
uniform-alpha_3-12-n6,6,332.32,250.08,0,190.77
uniform-alpha_3-13-n6,6,240.42,173.75,0,122.15
uniform-alpha_3-14-n6,6,239.08,140.02,0,140.02
uniform-alpha_3-15-n6,6,213.02,162.08,0,129.44
uniform-alpha_3-16-n6,6,272.92,202.73,0,176.14
uniform-alpha_3-17-n6,6,302.02,201.67,0,178.71
uniform-alpha_3-18-n6,6,238.25,197.48,0,148.81
uniform-alpha_3-19-n6,6,269.17,181.48,0,169.68
uniform-alpha_3-20-n6,6,265.03,145.79,0,146.45
doublecenter-21-n7,7,679.82,459.81,0,489.48
doublecenter-22-n7,7,578,432.62,0,447.11
doublecenter-23-n7,7,625.47,454.54,0.01,416.32
doublecenter-24-n7,7,616.9,510.51,0,558.56
doublecenter-25-n7,7,816.05,400.98,0,523.02
doublecenter-26-n7,7,529.13,400.03,0,433.8
doublecenter-27-n7,7,561.39,248.22,0,248.73
doublecenter-28-n7,7,654.92,243.56,0,496.61
doublecenter-29-n7,7,553.98,420.47,0,500.47
doublecenter-30-n7,7,693.4,511.12,0,471.16
doublecenter-alpha_1-21-n7,7,679.82,640.41,0,667.07
doublecenter-alpha_1-22-n7,7,578,487.88,0,524.95
doublecenter-alpha_1-23-n7,7,625.47,529.95,0,553.86
doublecenter-alpha_1-24-n7,7,616.9,556.92,0,606.35
doublecenter-alpha_1-25-n7,7,816.05,579.66,0,764
doublecenter-alpha_1-26-n7,7,529.13,437.55,0,487.49
doublecenter-alpha_1-27-n7,7,561.39,334.42,0,379.55
doublecenter-alpha_1-28-n7,7,654.92,356.71,0,563.79
doublecenter-alpha_1-29-n7,7,553.98,488.9,0,498.8
doublecenter-alpha_1-30-n7,7,693.4,567.95,0,578.16
doublecenter-alpha_3-21-n7,7,679.82,459.81,0,428.63
doublecenter-alpha_3-22-n7,7,578,432.62,0,452.24
doublecenter-alpha_3-23-n7,7,625.47,454.54,0,308.01
doublecenter-alpha_3-24-n7,7,616.9,510.51,0,355.67
doublecenter-alpha_3-25-n7,7,816.05,400.98,0,378.43
doublecenter-alpha_3-26-n7,7,529.13,400.03,0,315.64
doublecenter-alpha_3-27-n7,7,561.39,203.6,0,230.1
doublecenter-alpha_3-28-n7,7,654.92,243.56,0,362.97
doublecenter-alpha_3-29-n7,7,553.98,420.47,0,451.05
doublecenter-alpha_3-30-n7,7,693.4,511.12,0,363.72
singlecenter-21-n7,7,373.05,252.27,0,231.93
singlecenter-22-n7,7,361.74,178.38,0,200.6
singlecenter-23-n7,7,158.69,121.32,0,138.98
singlecenter-24-n7,7,297.91,157.24,0,168.2
singlecenter-25-n7,7,357.36,122.62,0,139.65
singlecenter-26-n7,7,199.88,98.77,0,109.67
singlecenter-27-n7,7,288.22,245.03,0,220.75
singlecenter-28-n7,7,326.38,214.17,0,186.42
singlecenter-29-n7,7,360.9,210.95,0,212.72
singlecenter-30-n7,7,302.97,200.48,0,204.44
singlecenter-alpha_1-21-n7,7,373.05,252.27,0.01,363.49
singlecenter-alpha_1-22-n7,7,361.74,248.79,0,267.21
singlecenter-alpha_1-23-n7,7,158.69,137.04,0,138.98
singlecenter-alpha_1-24-n7,7,297.91,204.09,0,247.61
singlecenter-alpha_1-25-n7,7,357.36,235.47,0,253.41
singlecenter-alpha_1-26-n7,7,199.88,113.28,0,114.7
singlecenter-alpha_1-27-n7,7,288.22,249.85,0,286.01
singlecenter-alpha_1-28-n7,7,326.38,233.08,0,249.25
singlecenter-alpha_1-29-n7,7,360.9,278.27,0,307.23
singlecenter-alpha_1-30-n7,7,302.97,250.71,0,242.47
singlecenter-alpha_3-21-n7,7,373.05,252.27,0,224.85
singlecenter-alpha_3-22-n7,7,361.74,121.8,0,143.95
singlecenter-alpha_3-23-n7,7,158.69,121.32,0,137.04
singlecenter-alpha_3-24-n7,7,297.91,153.24,0,136.76
singlecenter-alpha_3-25-n7,7,357.36,121.71,0,121.76
singlecenter-alpha_3-26-n7,7,199.88,65.85,0,78.04
singlecenter-alpha_3-27-n7,7,288.22,245.03,0,186.66
singlecenter-alpha_3-28-n7,7,326.38,201.15,0,139.43
singlecenter-alpha_3-29-n7,7,360.9,210.95,0,151.08
singlecenter-alpha_3-30-n7,7,302.97,196.64,0,208.29
uniform-21-n7,7,270.69,214.23,0,224.81
uniform-22-n7,7,249.96,217.97,0,219.56
uniform-23-n7,7,277.2,257.86,0,274.61
uniform-24-n7,7,287.51,229.8,0,278.26
uniform-25-n7,7,291.35,122.91,0,223.72
uniform-26-n7,7,242.94,133.43,0,230.69
uniform-27-n7,7,287.87,178.14,0,185.16
uniform-28-n7,7,320.06,275.35,0,252.4
uniform-29-n7,7,335.33,262.71,0,280.39
uniform-30-n7,7,238.89,181.87,0,194.3
uniform-alpha_1-21-n7,7,270.69,241.01,0.01,257.67
uniform-alpha_1-22-n7,7,249.96,233.27,0,246.36
uniform-alpha_1-23-n7,7,277.2,261.72,0,276.4
uniform-alpha_1-24-n7,7,287.51,256.33,0.01,286.25
uniform-alpha_1-25-n7,7,291.35,217.78,0,275.29
uniform-alpha_1-26-n7,7,242.94,199.14,0,236.63
uniform-alpha_1-27-n7,7,287.87,241.74,0,241.74
uniform-alpha_1-28-n7,7,320.06,287.54,0,308.39
uniform-alpha_1-29-n7,7,335.33,280.39,0,281.91
uniform-alpha_1-30-n7,7,238.89,204.34,0,221.84
uniform-alpha_3-21-n7,7,270.69,214.23,0,208.35
uniform-alpha_3-22-n7,7,249.96,217.97,0,220.61
uniform-alpha_3-23-n7,7,277.2,257.86,0,230.21
uniform-alpha_3-24-n7,7,287.51,229.8,0,191.95
uniform-alpha_3-25-n7,7,291.35,122.89,0,232.96
uniform-alpha_3-26-n7,7,242.94,129.27,0,224.28
uniform-alpha_3-27-n7,7,287.87,167.26,0,190.45
uniform-alpha_3-28-n7,7,320.06,275.35,0,252.4
uniform-alpha_3-29-n7,7,335.33,262.71,0,238.19
uniform-alpha_3-30-n7,7,238.89,181.87,0,202.2
doublecenter-31-n8,8,672.59,442.21,0.01,475.22
doublecenter-32-n8,8,635.89,454.31,0,593.01
doublecenter-33-n8,8,605.73,433.54,0,540.09
doublecenter-34-n8,8,940.09,494,0,799.15
doublecenter-35-n8,8,616.59,426.79,0,581.76
doublecenter-36-n8,8,749.87,396.13,0,576.47
doublecenter-37-n8,8,491.17,321.52,0,372.29
doublecenter-38-n8,8,719.56,538.06,0.01,626.74
doublecenter-39-n8,8,792.64,570.39,0,588.2
doublecenter-40-n8,8,603.65,458.93,0,643.74
doublecenter-alpha_1-31-n8,8,672.59,516.09,0.01,669.62
doublecenter-alpha_1-32-n8,8,635.89,574.56,0,673.38
doublecenter-alpha_1-33-n8,8,605.73,498.58,0,569.56
doublecenter-alpha_1-34-n8,8,940.09,775.64,0,946.47
doublecenter-alpha_1-35-n8,8,616.59,452.97,0,588.44
doublecenter-alpha_1-36-n8,8,749.87,581.45,0,743.62
